Product,Price,Amount,Serving Size,Calories,Ingredients,Allergens
Original Fruit Hard Kombucha 6pk Cans,$15.49,12 fl oz,12 fl oz (355 ml),120," Organic Jun Kombucha (Organic Honey, Organic Dragonwell Green Tea), Purified Water, Organic Cane Sugar, Organic Passion Fruit Juice, Organic Elderflower, Organic Jasmine, Yeast",Unknown
Farm Flor Rustic Table Cider,$11.99,12 oz,Unknown,Unknown,Ny Apples Unpasteurized 0g Sugar No Sulfites Added,Unknown
The Crisp Pilz 6pk Can,$12.49,12 fl oz,Unknown,Unknown,Unknown,Unknown
Original Lager Beer,$3.99,Single 24 fl oz Can,Unknown,Unknown,Unknown,Unknown
Neon Rainbows 4pk,$13.49,Unknown,Unknown,Unknown,Unknown,Unknown
Mad Elf Holiday Ale 6-pack,$17.99,72 fl oz,Unknown,Unknown,Unknown,Unknown
Lager 12 Pack Can,$13.49,144 fl oz,Unknown,Unknown,Unknown,Unknown
Athletic Lite Non-Alcoholic,$11.99,12 fl oz,Unknown,Unknown," Water, Organic Malt, Organic Rice, Organic Wheat, Hops, Yeast",Wheat
IPA 6pk,$12.49,Unknown,Unknown,Unknown,Unknown,Unknown
Higher Volume 15pk Can,$18.99,Unknown,Unknown,Unknown,Unknown,Unknown
Lager Beer,$8.79,Unknown,Unknown,Unknown,Unknown,Unknown
Gose Cider 4pk Can,$11.99,48 oz,12 oz (355 ml),155,"Ny Hard Cider, Lime Concentrate, Hibiscus, Ginger Juice, Demerara Sugar, Natural Flavors, Sulfites (To Preserve Freshness)",Unknown
Vitus,$4.49,Unknown,Unknown,Unknown,Unknown,Unknown
Brooklyn Lager 6pk Bottles,$10.49,12 oz,Unknown,Unknown,Unknown,Unknown
Cider Variety Pack,$18.99,12 oz cans,12 fl oz (355 ml),140,"Original Dry Cider  Hard Apple Cider, Filtered Water, Cane Sugar, Brown Sugar, Malic Acid, Sulfites (To Preserve Freshness), Carbon Dioxide, Pineapple Cider  Hard Apple Cider, Filtered Water, Pineapple Concentrate, Cane Sugar, Brown Sugar, Malic Acid, Sulfites (To Preserve Freshness), Carbon Dioxide, Blood Orange Cider  Hard Apple Cider, Filtered Water, Blood Orange Concentrate, Cane Sugar, Brown Sugar, Whole Blood Orange Puree, Malic Acid, Red Raspberry Concentrates, Sulfites (To Preserve Freshness), Carbon Dioxide, Watermelon Cider  Hard Apple Cider, Filtered Water, Cane Sugar, Brown Sugar, Watermelon Juice Concentrate, Malic Acid, Sulfites (To Preserve Freshness), Carbon Dioxide",Unknown
Seasonal Cider 4pk,$7.49,12 fl oz,Unknown,Unknown," Freshly Pressed Apple Cider, Grapefruit Juice, Citric Acid, Sulfites To Preserve Flavor",Unknown
Spring Peeper Ale,$6.99,Unknown,Unknown,Unknown,Unknown,Unknown
Hefe Weisse,$10.99,12 fl oz,Unknown,Unknown,Unknown,Unknown
