Product,Price,Amount,Serving Size,Calories,Ingredients,Allergens
Double Chocolate Chip Mini Cookie 18 Count,$5.99,12 oz,1 ea,90," Unbleached, Unbromated Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Butter (Cream), Chocolate Chips (Sugar, Unsweetened Chocolate, Cocoa Butter, Soy Lecithin [An Emulsifier], Natural Vanilla Flavor), Light Brown Sugar, Chocolate Chips (Sugar, Unsweetened Chocolate, Cocoa Butter, Dextrose, Sunflower Lecithin), Cocoa With Alkali, Invert Cane Sugar, Sugar, Eggs, Sea Salt, Natural Vanilla Flavor, Baking Soda, Baking Powder (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Corn Starch, Monocalcium Phosphate).","Eggs, Milk and Dairy, Soy, Wheat"
Chocolate Brownie Sweet Thins,$4.19,4.25 oz,12 thins (30 g),140,"seed & nut flour blend (watermelon, cashew, sunflower, flax) coconut sugar tapioca starch arrowroot cocoa butter dutch cocoa powder cocoa extract baking soda rosemary extract (for freshness) sea salt vanilla extract",Tree Nuts
Double Chocolate Chip Cookies 6ct,$6.49,6 servings per container,1 each,260," Unbleached, Unbromated Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Butter (Cream), Chocolate Chips (Sugar, Unsweetened Chocolate, Cocoa Butter, Soy Lecithin [An Emulsifier], Natural Vanilla Flavor), Light Brown Sugar, Chocolate Chips (Sugar, Unsweetened Chocolate, Cocoa Butter, Dextrose, Sunflower Lecithin), Cocoa With Alkali, Invert Cane Sugar, Sugar, Eggs, Sea Salt, Natural Vanilla Flavor, Baking Soda, Baking Powder (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Corn Starch, Monocalcium Phosphate).","Eggs, Milk and Dairy, Soy, Wheat"
New York Cheesecake Slice,$3.99,1 servings per container,1 slice,480," New York Cheesecake (Cream Cheese [Pasteurized Milk & Cream, Cheese Culture, Salt, Stabilizers (Carob Bean, Xanthan, and/or Guar Gums)], Cane Sugar, Graham Crumb [Unbleached Unenriched Wheat Flour, Whole Wheat/Graham Flour, Sugar, Palm & Palm Kernel Oil, Molasses, Honey, Salt, Sodium Bicarbonate], Heavy Cream [Heavy Cream, Carrageenan, Mono & Diglycerides.], Eggs, Butter [Pasteurized Cream, Lactic Acid, Starter Distillate, Culturoma], Brown Sugar [Cane Sugar, Cane Molasses], Corn Starch, Bourbon Vanilla Extract [Water, Ethyl Alcohol, Vanilla Bean Extractives], Canola Spray [Expeller Pressed Canola Oil, Soy Lecithin, Propellant]).","Eggs, Milk and Dairy, Soy, Wheat"
Crunchy Toasted Pecan Cookies,$4.19,5.5 oz,4 cookies (29 g),150," Nut Flour Blend (Almonds, Pecans, Coconut) Tapioca Starch Organic Coconut Sugar Organic Coconut Oil Arrowroot Vanilla Extract Baking Soda Sea Salt Cream of Tartar Rosemary Extract (For Freshness)",Tree Nuts
Organic Vanilla Animal Cookie,$4.29,11 oz,10 cookies (30 g),140," Organic Enriched Wheat Flour (Organic Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Organic Cane Sugar, Organic Expeller Pressed Palm Oil, Organic Invert Cane Sugar, Organic Expeller Pressed Canola Oil, Organic Natural Flavors, Sea Salt, Leavening (Sodium Bicarbonate).",Wheat
Vanilla Cupcakes 4ct,$6.99,10 oz,1 cupcake (71 g),300," Water, Cane Sugar, RSPO Certified Sustainable Palm Oil (Palm Oil, Vegetable Mono and Diglycerides), Confectioners' Sugar (Cane Sugar, Cornstarch), Enriched Unbleached Flour (Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Expeller-pressed Canola Oil, Natural Vanilla Flavor, Baking Powder (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Cornstarch, Monocalcium Phosphate), Faba Bean Protein, Sea Salt, Beta Carotene (For Color).",Wheat
Peanut Butter Cookie 6 Count,$6.49,10 oz,1 ea,270,Unknown,Unknown
Cinnamon Doughnut Muffins,$7.99,9 oz,1 muffin (28 g),120," Sugar, Enriched Wheat Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Butter (Cream, Natural Flavoring), Milk (Milk, Vitamin D3), Eggs, Baking Powder (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Corn Starch, Monocalcium Phosphate), Cinnamon, Salt, Vanilla Extract, Nutmeg.","Eggs, Milk and Dairy, Wheat"
Chocolate Almond Milk Pudding 4pk,$3.49,15 oz,1 container (106 g),100," Almondmilk (Water, Almonds), Cane Sugar, Cornstarch, Tapioca Starch, Cocoa (Processed With Alkali), Salt, Natural Flavor.",Tree Nuts
