Product,Price,Amount,Serving Size,Calories,Ingredients,Allergens
Organic Lite Stevia Lemonade,$2.79,64 fl oz,8 fl oz (240 ml),40," Filtered Water, Organic Cane Sugar, Organic Lemon Juice Concentrate, Organic Natural Flavors, Citric Acid, Organic Rebaudioside A (Stevia Leaf Extract), Natural Flavor.",Unknown
Lime & Mint Sparkling Mineral Water,$1.99,33.8 fl oz,12 fl oz (360 ml),0," Carbonated Mineral Water, Organic Natural Flavors.",Unknown
Medium Pulp Orange Juice,$4.99,52 fl oz,8 fl oz (240 ml),110,"100% Orange Juice Contains: Oranice Juice, Less Than 1% of Calcium Phosphate* and Calcium Lactate* (Calcium Sources), Vitamin D3*",Unknown
Summer Berry Sparkling Water,$6.89,144 fl oz,1 can (355 ml),0," Purified Carbonated Water, Natural Flavors",Unknown
Sparkling Probiotic Drink Lemon,$4.19,15.2 fl oz,1 bottle (450 ml),90,"Sparkling Water, Water Kefir Culture (Water, Lactic Acid, Kefir Culture, Natural Flavor), Cane Sugar*, Apple Cider Vinegar*, Ginger Extract*, Bacillus Coagulans Gbi-30 6086, Fig Concentrate*, Lactic Acid, Lemon Extract*, Fruit and Vegetable Juice For Color*., *Certified Organic Ingredient",Unknown
Cherry Lime Sparkling Water Multipack,$6.89,12 fl oz cans,1 can,0," Purified Carbonated Water, Natural Flavors",Unknown
Coconut Water 4pk,$10.99,16.9 fl oz,8 fluid ounce,45," Coconut Water, Less Than 1% Sugar, Vitamin C (Ascorbic Acid).",Tree Nuts
Lemon Italian Sparkling Mineral Water 6pk,$6.29,16.9 fl oz,1 bottle (500 ml),0," Carbonated Mineral Water, Organic Natural Flavor (Lemon).",Unknown
Organic Sparkling Grapefruit Ginger Yerba Mate,$3.29,12 fl oz,8 fl oz (240 ml),30,"Sparkling Purified Water, Organic Agave Syrup†, Organic Grapefruit Juice, Organic Yerba Mate Extract†, Organic Ginger Juice, Citric Acid, Organic Grapefruit Natural Flavor, Organic Brewed Yerba Mate†, (Purified Water, Organic Yerba Mate†), Organic Reb A (Stevia Leaf Extract)",Unknown
Organic Green Delight Juice,$4.19,12 fl oz,1 bottle (354 ml),160," Organic Apple Juice, Organic Banana Puree, Organic Mango Puree, Organic Lemon Juice, Organic Kale Juice, Organic Spinach Juice, Organic Spirulina Powder, Organic Chlorella Powder, Organic Barley Grass Powder",Unknown
New Orleans Style Iced Coffee,$4.99,10.66 fl oz,1 carton (315 ml),160," Organic Milk, Organic Coffee Blend (Water, Organic Coffee, Organic Chicory, Baking Soda), Organic Cane",Milk and Dairy
Organic California Citrus 16oz,$4.49,Unknown,1 bottle,60," Gt's Kombucha* (Kombucha Culture*, Black Tea*, Green Tea*, Kiwi Juice*), Tangerine Juice*, Meyer Lemon Juice*, Apricot Juice*, Fresh Pressed Ginger Juice*, Vanilla Extract*, and 100% Pure Love!!!",Unknown
Protein Vanilla,$4.99,12 oz,12 fl oz (355 ml),180," Organic Coconut-milk (Water, Organic Coconut Creme), Organic Pea Protein, Organic Inulin (Prebiotic Fiber), Organic Coconut Sugar, Organic Vanilla Extract, Organic Cinnamon Extract, Organic Cardamom, Organic Ashwagandha Extract., Organic Maca Extract, Baker's Yeast Beta Glucan, Pink Salt, Organic Stevia Extract, Organic Reishi Mushroom Extract, Gellan Gum, Organic Monk Fruit Extract, Organic Black Pepper",Tree Nuts
Organic Apple Juice Boxes,$4.19,6.75 fl oz,1 box (200 ml),100," Organic Apple Juice from Concentrate (Filtered Water, Organic Apple Juice Concentrate), Ascorbic Acid (Vitamin C).",Unknown
Coconut Almond Plant Powered Protein Drink,$4.59,12 fl oz,1 bottle,190," Almond Milk (Filtered Water, Almonds), Koia Proprietary Protein Blend (Brown Rice Protein, Pea Protein, Chickpea Protein), Chicory Root Fiber, Organic Cane Sugar, Natural Flavors, Vanilla Extract, Sunflower Lecithin, Sea Salt, Monk Fruit Extract, Locust Bean Gum, Gellan Gum and Coconut Flour",Tree Nuts
Organic Pure Beet Juice,$8.99,32 fl oz,8 fl oz (240 ml),100," Organic Beetroot Juice, Organic Lemon Juice.",Unknown
Lemonade Electrolyte Powder,$24.99,3.7 oz,1 scoop (3.5 g),0," Citric Acid, Magnesium Citrate, Potassium Phosphate, Potassium Aspartate, Calcium Citrate, Natural Lemon Flavor, Salt, Calcium Ascorbate, Rebaudioside-a (from Organic Stevia Leaf), Zinc Citrate and Manganese Citrate.",Unknown
Organic Regenerative Uht A2 2% Reduced Fat Milk,$7.69,59 fl oz,1 cup (240 ml),130," Organic Milk, Organic Non-fat Milk, Vit D3, Vit A Palmitate",Milk and Dairy
Suja Organic Celery Juice Drink,$10.99,46 fl oz,8 fl oz (237 ml),35," Organic Celery Juice, Organic Lemon Juice",Unknown
Organic Shelf-Stable Lemonade,$2.79,8 servings per container,8 fl oz (240 ml),90," Filtered Water, Organic Cane Sugar, Organic Lemon Juice Concentrate, Organic Strawberry Juice Concentrate, Natural Flavors, Organic Fruit and Vegetable Extract (For Color), Organic Lemon Flavor, Citric Acid.",Unknown
Deep Cleaning,$7.49,12 fl oz,12 fl oz (355 ml),40,"Cucumber Juice*, Celery Juice*, Lemon Juice*, Spinach Juice*, Dandelion Juice*, Parsley Juice*, Burdock Root* (Filtered Water, Burdock Root Powder*), *=Organic",Unknown
Organic Vitamin C Immunity Boost Shot,$3.99,2 fl oz,2 fl oz (59 ml),25," Organic Red Apple Juice, Organic Acerola Cherry Juice, Organic Ginger Root Juice, Organic Turmeric Root Juice, Organic Black Currant Juice, Organic Ground Black Pepper",Unknown
Master Brew Kombucha Pineapple Peach,$4.19,15.2 fl oz,1 bottle,60," Sparkling Water, Kombucha Culture (Filtered Water, Black Tea*, Green Tea*, Natural Flavor*) *, Filtered Water, Cane Sugar*, Bacillus Coagulans Mtcc 5856, Ginger Extract*, Pineapple Flavor*, Peach Flavor*, Black Tea*, Black Tea Essence*, Caffeine (Green Coffee Bean Extract) *, Green Tea*, Purified Stevia Leaf Extract*., *Certified Organic Ingredient",Unknown
Ginger Ale,$5.99,12 fl oz,1 can (355 ml),0," Carbonated Water, Citric Acid, Stevia Leaf Extract, Natural Flavors, Ginger Extract.",Unknown
Hologram,$14.99,12 oz,Unknown,Unknown,Coffee,Unknown
Organic Mango Lemonade,$2.79,64 fl oz,8 fl oz (240 ml),80," Filtered Water, Organic Cane Sugar, Organic Lemon Juice Concentrate, Organic Mango Puree, Organic Flavors, Citric Acid, Natural Flavors, Beta Carotene (For Color).",Unknown
Organic Pure Lemon Juice,$10.29,32 fl oz,1 tsp (5 ml),0,Ingredient: Organic Lemon Juice.,Unknown
Organic Lime Juice (Not from Concentrate),$3.29,10 fl oz,1 tsp (5 ml),0, Organic Lime Juice.,Unknown
Citrus Blend Italian Sparkling Mineral Water,$1.99,33.8 fl oz,12 fl oz (360 ml),0," Carbonated Mineral Water, Organic Natural Flavors.",Unknown
Horchata Oatly Cold Brew Coffee,$4.99,11 fl oz,1 carton,170," Oatmilk (Water, Oats), Cold Brew Coffee (Water, Coffee), Cane Sugar., Contains 2% or Less of: Low Erucic Acid Rapeseed Oil, Natural Flavor, Dipotassium Phosphate, Gum Acacia, Gellan Gum, Calcium Carbonate, Tricalcium Phosphate, Sea Salt, Dicalcium Phosphaté.",Unknown
Organic Immunity Boost Variety Shot 4pk,$13.99,2 fl oz,Unknown,Unknown," Organic Red Apple Juice, Organic Acerola Cherry Juice, Organic Ginger Root Juice, Organic Turmeric Root Juice, Organic Black Currant Juice, Organic Ground Black Pepper",Tree Nuts
Orange Juice Multipack,$6.39,8 fl oz bottles,1 bottle,100,Unknown,Unknown
Organic Freeze Dried Decaf Jars,$9.99,3.53 oz,Unknown,Unknown,Coffee,Unknown
Organic Number 46 12ozcoffee,$15.99,Unknown,Unknown,Unknown,Coffee,Unknown
Organic Apollo Single Origin Espresso,$15.99,12 oz,Unknown,Unknown,Coffee,Unknown
Chocolate Peanut Butter Beverage,$4.59,12 fl oz,1 bottle,190," Almond Milk (Filtered Water, Almonds), Koia Proprietary Protein Blend (Brown Rice Protein, Pea Protein, Chickpea Protein), Peanut Butter, Chicory Root Fiber, Cocoa Powder, Organic Cane Sugar, Natural Flavors, Sunflower Lecithin, Sea Salt, Vanilla Extract, Cocoa Extract, Monk Fruit Extract, Locust Bean Gum, Gellan Gum and Cinnamon","Peanuts, Tree Nuts"
Organic Slow Motion Decaf,$15.99,12 oz,Unknown,Unknown,Organic Whole Bean Coffee,Unknown
Kombucha,$3.99,Unknown,Unknown,Unknown,Unknown,Unknown
Strawberry Sparkling Mineral Water,$1.99,33.8 fl oz,12 fl oz (360 ml),0," Carbonated Mineral Water, Organic Natural Flavors.",Unknown
Organic Appley Ever After Juice Drink Boxes,$4.39,6 fl oz boxes,1 drink box,35," Filtered Water, Organic Apple Juice from Concentrate, Natural Flavors, Vitamin C (Ascorbic Acid), Organic Natural Flavors, Citric Acid (Provides Tartness)",Unknown
Blend Coffee,$15.99,12 oz,Unknown,Unknown,Coffee,Unknown
